"file","to","status"
"Brandt-Rawski investment deflator.dta","data\raw","moved"
"finalshare.dta","data\raw","moved"
"firm_year_IVs_Ztariff_ZHHI.dta","data\raw","moved"
"hs02to96.dta","data\raw","moved"
"hs07to96.dta","data\raw","moved"
"hs6_cic.dta","data\raw","moved"
"hs96_bec.dta","data\raw","moved"
"importtariff.dta","data\raw","moved"
"junenewg_0902.dta","data\raw","moved"
"firststage.dta","data\work","moved"
"firststage-nonhicks.dta","data\work","moved"
"gmm_boot_group_G1_17_19.dta","data\work","moved"
"gmm_boot_group_G2_39_41.dta","data\work","moved"
"gmm_point_group_G1_17_19.dta","data\work","moved"
"gmm_point_group_G2_39_41.dta","data\work","moved"
"Markdown_mean_figure.dta","data\work","moved"
"markdown_median_figure.dta","data\work","moved"
"mdnon-Hicks.dta","data\work","moved"
"omega_spliced_2000_2007.dta","data\work","moved"
"omega_xi_allindustries.dta","data\work","moved"
"omega_xi_group_G1_17_19.dta","data\work","moved"
"omega_xi_group_G2_39_41.dta","data\work","moved"
"gmm_point_industry.dta","results\data","moved"
"nonhicks_points_by_group.dta","results\data","moved"
"nonhicks_ses_by_group.dta","results\data","moved"
"tfp_aft_annual_rate.dta","results\data","moved"
"sector_cagr_tfp_aft.dta","results\data","moved"
"sector_cagr_tfp_aft_slim.dta","results\data","moved"
"~aft_figure_1024.do.stswp","archive\tmp_editor","moved"
