Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;1991;1991;USD;524.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;1992;1992;USD;546;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;1993;1993;USD;560.6;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;1994;1994;USD;423.8;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;1995;1995;USD;631.2;*;Unofficial figure
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;1996;1996;USD;764;*;Unofficial figure
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;1997;1997;USD;684.2;*;Unofficial figure
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;1998;1998;USD;643.3;*;Unofficial figure
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;1999;1999;USD;691;*;Unofficial figure
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;2000;2000;USD;714.5;*;Unofficial figure
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;2001;2001;USD;901.2;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;2002;2002;USD;978.9;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;2003;2003;USD;1050.9;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;2004;2004;USD;1188.6;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;2005;2005;USD;1217.5;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;2006;2006;USD;1266.2;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;2007;2007;USD;1572.9;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;2008;2008;USD;1566.9;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;2009;2009;USD;1711.6;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;2011;2011;USD;2333.6;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;2012;2012;USD;2836.8;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);826;Tobacco, unmanufactured;2013;2013;USD;3010.4;;Official data
