brandname;firmbrandname
Baisha;China Tobacco Hunan Industrial Co., Ltd.
Changzheng;
Chunghwa;Shanghai Tobacco Group
Cocopalm;Guangzhou Cigarette Factory
Daqianmen;Shanghai Tobacco Group
Diaoyutai;Kunming Cigarette Factory 
Dihao;China Tobacco Henan Industrial Co
Double happiness;Shanghai Tobacco Group
Furong Xiangyan;Changde Cigarette Factory
Furongwang;Changde Cigarette Factory
Golden leaf;China Tobacco Yunnan Industrial Co
Good fortune;
Happiness;Shanghai Tobacco Group
Hatamen;China Tobacco Shandong Industrial
Honghe;Honghe Cigarette Factory
Hongjinlong;Wu Han Cigarette Factory
Hongmei;Hongta group
Hongqiqu;China Tobacco Henan Industrial Co
Hongtashan;Hongta group
Houwang;Baoji Cigarette Factory
Jinmanggou;Xinzheng Cigarette Factory
Jinxuchang;Xuchang Cigarette Factory
LanLing;Hongta group
Lesser Panda;Hui Ze Cigarette Factor
Liqun;Zhejiang Industrial Co.
Mellow Furong;Changde Cigarette Factory
Peony;Shanghai Cigarette Factory
Pingtan;
Pingtanxian Gyan;
Pride;Tobacco Chuanyu Industrial Company
Sanhua;Zhengzhou Cigarette Factory
Shanghai;Shanghai Tobacco Group
Shuangxi;Guangzhou No.2 Cigarette Factory
State Guests;
Stone Forest;Quijing Cigarette Factory
The Scarlet Camellia;Kunming Cigarette Factory
Yizhibi;
Yun Yan;Kunming Cigarette Factory 
Zhongnanhai;Beijing Tobacco Corporation
